[10/09/2013-19:27:19]*  Lloyder SwagLT ally de fac yo tambien soy nuevo 
[10/09/2013-19:27:24]*  Lloyder entre ace unos minutos 
[10/09/2013-19:28:33]*  Lloyder LilEazyKush puedo entrar a tu fac porfa 
[10/09/2013-19:28:46]*  Lloyder soy nuevo pero soy pro creeme 
[10/09/2013-19:29:07]*  Lloyder solo nesecito algo de diamot y ya veras 
[10/09/2013-19:30:59]*  Lloyder LilEazyKush si subo mi pow a 10 y te demuestro lo pro que soy entro ? 
[10/09/2013-19:33:26]*  Lloyder en el /warp recursos hay pvp ? 
[10/09/2013-19:33:37]*  Lloyder aa ok grax 
[11/09/2013-07:55:41]*  Insomnia pone tabulador. /me obnserva que no está sorin 
[11/09/2013-11:27:41]*  Insomnia llora las penas 
[11/09/2013-11:28:04]*  Insomnia asiente mirando a Woolf y le hace una aprobación con su dedo pulgar de "OK". 
[11/09/2013-18:49:29]*  Basti110 oli 
[11/09/2013-18:50:16]*  Basti110 murio por matar a una polla 
[11/09/2013-18:50:33]*  Basti110 murio por matar a una polla bien grande 
[11/09/2013-21:59:57]*  Autorojo llora viendo su casa 
[11/09/2013-22:00:06]*  Franco se quema las patas corriendo 
[11/09/2013-22:05:49]*  Franco le besa en la mejilla 
[11/09/2013-22:06:04]* <Admin> Hitler se la coje 
[12/09/2013-08:57:28]*  Franco le da un besito 
[12/09/2013-16:29:28]*  TOR LOL 
[12/09/2013-18:22:57]*  yeyus unen ya a la fac? 
[12/09/2013-21:39:27]*  Autorojo le agarra la mano a Anita y observa el amanecer. Le da un besito. 
[13/09/2013-11:39:53]*  sky558 Phoenix me vendes un libro de fortuna 3 ? 
[14/09/2013-03:42:38]*  Ryone le da un besico 
[14/09/2013-03:43:52]*  Sergioo le da otro besico 
[14/09/2013-03:50:49]*  Westbrook le da un besico 
[14/09/2013-04:39:35]*  paz la remil puta paren de pelear 
[14/09/2013-15:50:49]*  Autorojo VE MUCHAS MESITAS 
[15/09/2013-08:43:11]*  Pablo19281929 ola k ase 
[15/09/2013-08:43:25]* <Emerald> HunterKiraz masturbo 
[15/09/2013-08:43:30]*  Pablo19281929 lol 
[15/09/2013-08:43:38]*  Pablo19281929 sensual :3 
[15/09/2013-09:46:45]*  Lloyder algun admin conectado ? 
[15/09/2013-09:46:46]*  Lloyder algun admin conectado ? 
[15/09/2013-09:46:46]*  Lloyder algun admin conectado ? 
[15/09/2013-09:47:45]*  Lloyder carlos como me pongo el trabajo para chacrero ose de cultivos xD 
[15/09/2013-09:47:53]*  Lloyder carlos como me pongo el trabajo para chacrero ose de cultivos? xD 
[15/09/2013-09:48:07]*  Lloyder aa ok grax :D 
[15/09/2013-09:48:20]*  Lloyder se 
[15/09/2013-09:52:48]*  Lloyder porque lo banearon a toner ? 
[15/09/2013-09:53:39]*  Lloyder arlos hay tienda en pvp ? 
[15/09/2013-09:56:17]*  Lloyder me dan algo de armor ? 
[15/09/2013-09:56:48]*  Lloyder dale me dan armor ? 
[15/09/2013-09:57:49]*  Lloyder aaa yo que porque me matan =( 
[15/09/2013-10:26:22]*  Lloyder carlos 
[15/09/2013-10:26:36]*  Lloyder porque a mi no me dieron mi kit de hiron ? 
[16/09/2013-13:00:14]*  paz lukercraft /sethome 
[16/09/2013-18:25:53]*  Franco le abraza 
[20/09/2013-04:46:06]*  Autorojo aplaude. 
[20/09/2013-11:21:32]*  Autorojo levanta las manos. 
[20/09/2013-11:21:43]*  Boppeler mea el carril 
[20/09/2013-12:24:54]*  Autorojo se siente troll. 
[20/09/2013-14:26:18]*  xJuancaa mata a valerie 
[20/09/2013-14:26:21]*  xJuancaa no puede 
[20/09/2013-14:26:26]*  xJuancaa muere de la honda expansiva 
[20/09/2013-14:26:36]*  Manley le tira un beso desde las parcelas a anita donde quiera que este 
[20/09/2013-14:26:45]*  Manley :* 
